Entry,Period,Name,Number,EntryType,Quadrant,TimeRem,PassComplete,FinalPlay,
1,1,Ch. Krygier,15,dump,3,19:52,0,icing,
2,1,Mucha,18,carry,4,19:10,2,SGR,
3,1,Russell,20,carry,2,18:32,1,MS,
4,1,Russell,20,carry,4,18:00,2,SGF,
5,1,Russell,20,pass,4,16:00,1,STO,
6,1,Nolan,21,carry,1,15:30,0,STO,
7,1,Dorwart,28,dump,4,15:10,0,PTO,
8,1,Dubinsky,14,carry,4,14:45,1,STO,
9,1,Middendorf,24,carry,4,14:30,0,STO,
10,1,Tucker,16,carry,2,14:15,0,STO,
11,1,Kelly,26,carry,1,13:40,0,STO,
12,1,Ch. Krygier,15,dump,2,13:22,0,PTO,
13,1,Muller,19,dump,1,13:00,0,STO,
14,1,Dorwart,28,dump,2,12:40,0,STO,
15,1,Dorwart,28,carry,4,12:20,2,SGF,
16,1,Russell,20,dump,2,11:40,0,STO,
17,1,Jallen,12,carry,3,11:00,2,STO,
18,1,Jallen,12,dump,1,10:40,0,STO,
19,1,Tucker,16,dump,4,10:00,0,PTO,
20,1,Kelly,26,pass,1,9:20,0,PTO,
21,1,Dorwart,28,dump,3,8:25,0,SGF,
22,1,Joshua,23,carry,2,7:55,0,STO,
23,1,Ch. Krygier,15,dump,4,7:35,0,PTO,
24,1,Jallen,12,pass,4,7:28,1,PEN,
25,1,Davidson,11,carry,4,7:02,0,STO,
26,1,Davidson,11,carry,4,6:45,2,SGR,
27,1,Dorwart,28,dump,1,5:50,1,STO,
28,1,Joshua,23,carry,3,4:50,0,STO,
29,1,Dubinsky,14,dump,1,4:15,0,PTO,
30,1,Basgall,9,carry,2,3:55,0,SGF,
31,1,Davidson,11,pass,2,3:15,0,PTO,
32,1,Russell,20,carry,4,2:40,0,STO,
33,1,Joshua,23,pass,1,2:15,1,STO,
34,1,Dubinsky,14,carry,4,1:58,1,MS,
35,1,Middendorf,24,dump,4,1:35,0,PTO,
36,1,Shoudy,13,carry,4,0:40,1,MS,
37,1,Kelly,26,carry,4,0:25,0,PTO,
38,2,Joshua,23,dump,3,19:20,0,PTO,
39,2,Joshua,23,carry,2,19:00,0,STO,
40,2,Dubinsky,14,dump,1,18:33,0,PTO,
41,2,Shoudy,13,carry,4,17:20,0,PEN,
42,2,Gucciardi,7,pass,1,16:40,0,PTO,
43,2,Co. Krygier,8,carry,1,15:58,0,MS,
44,2,Dubinsky,14,carry,2,15:45,0,STO,
45,2,Shoudy,13,pass,4,14:25,0,STO,
